date,secid,price,yield
2024-08-21,RU000A0JRJB8,129.95,5.19
2024-08-21,RU000A0JS4K9,98.51,10.39
2024-08-21,RU000A0JR4U9,99.5,6.46
2024-08-21,RU000A0JUG98,75.05,22.05
2024-08-21,RU000A0JUAG0,99.29,20.37
2024-08-21,RU000A0JRU46,90.12,158.27
2024-08-21,RU000A0JV4R9,100.0,
2024-08-21,RU000A0JSQ58,99.34,17.46
2024-08-21,RU000A0JRZ74,86.01,18.27
2024-08-21,RU000A0JTZF1,116.05,
2024-08-21,RU000A0JU9K4,98.9,
2024-08-21,RU000A0JQAM6,105.0,-40.4
2024-08-21,RU000A0JTFB2,96.99,9.51
2024-08-21,RU000A0JTW83,101.99,
2024-08-21,KG000A3LSJ06,96.09,18.75
2024-08-21,RU000A0JTU85,98.2,19.1
2024-08-21,KG000A3LSC78,99.9999,16.16
2024-08-21,RU000A0JS4Z7,96.19,18.11
2024-08-21,RU000A1037P0,100.0,
2024-08-21,RU000A0JUAH8,97.8,17.71
2024-08-21,RU000A0JVNL1,99.85,
2024-08-21,RU000A0JT403,99.38,14.3
2024-08-21,RU000A0ZZAL5,98.3,
2024-08-21,RU000A0JU0N7,83.49,17.96
2024-08-21,RU000A0JS4J1,112.49,7.77
2024-08-21,RU000A0JV755,125.23,
2024-08-21,RU000A0JT6B2,102.5,12.81
2024-08-21,RU000A0JTB96,98.5,11.62
2024-08-21,RU000A0JSGV0,87.59,18.7
2024-08-21,RU000A0JUT85,37.97,10.11
2024-08-21,RU000A0JS4L7,116.3,7.18
2024-08-22,RU000A0JV0T3,98.5,
2024-08-22,RU000A0JUKX4,102.07,10.76
2024-08-22,RU000A0JRJL7,122.96,6.32
2024-08-22,RU000A0JV0U1,100.63,15.5
2024-08-22,RU000A0JRU20,90.71,149.54
2024-08-22,RU000A0JRJB8,129.95,5.19
2024-08-22,RU000A0JS4K9,97.0,10.7
2024-08-22,RU000A0JR4U9,99.5,6.46
2024-08-22,RU000A0JUG98,75.05,22.05
2024-08-22,RU000A0JUAG0,96.66,35.17
2024-08-22,RU000A0JRU46,90.23,158.27
2024-08-22,RU000A0JV4R9,100.0,
2024-08-22,RU000A0JSQ58,99.34,17.46
2024-08-22,RU000A0JRZ74,89.91,12.62
2024-08-22,RU000A0JTZF1,116.05,
2024-08-22,RU000A0JU9K4,98.9,
2024-08-22,RU000A0JQAM6,105.0,-40.4
2024-08-22,RU000A0JTFB2,96.99,9.51
2024-08-22,RU000A0JTW83,101.99,
2024-08-22,KG000A3LSJ06,96.44,18.41
2024-08-22,RU000A0JTU85,98.96,17.57
2024-08-22,KG000A3LSC78,99.9999,16.16
2024-08-22,RU000A0JS4Z7,96.22,18.09
2024-08-22,RU000A1037P0,100.0,
2024-08-22,RU000A0JUAH8,97.86,17.52
2024-08-22,RU000A0JVNL1,99.85,
2024-08-22,RU000A0JT403,99.0,19.21
2024-08-22,RU000A0ZZAL5,98.3,
2024-08-22,RU000A0JU0N7,83.49,17.96
2024-08-22,RU000A0JS4J1,112.49,7.77
2024-08-22,RU000A0JV755,125.23,
2024-08-22,RU000A0JT6B2,97.99,16.25
2024-08-22,RU000A0JTB96,98.5,11.62
2024-08-22,RU000A0JSGV0,87.5,18.78
2024-08-22,RU000A0JUT85,37.97,10.11
2024-08-22,RU000A0JS4L7,116.3,7.18
2024-08-23,RU000A0JV0T3,98.5,
2024-08-23,RU000A0JUKX4,100.01,14.78
2024-08-23,RU000A0JRJL7,122.96,6.32
2024-08-23,RU000A0JV0U1,100.63,15.5
2024-08-23,RU000A0JRU20,90.69,165.94
2024-08-23,RU000A0JRJB8,129.95,5.19
2024-08-23,RU000A0JS4K9,97.01,10.7
