secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
RU000A0JUAG0,TQCB,РСГ-ФинБ01,2025-04-14,100.2,100.19,99.93,100.2,100.02,15,15003.2,17.26,19.82,2025-11-11,0.93,,83.84,20.0,99.73,1000.0,RUB,58,2025-04-14
RU000A0JUAH8,TQCB,РЖД-30 обл,2025-04-14,101.39,101.39,101.09,101.49,101.36,92,93253.6,20.67,20.73,2028-11-07,6.4,,94.32,22.5,112.19,1000.0,RUB,58,2025-04-14
RU000A0JUAN6,TQCB,ГазпромБ19,2025-04-14,,,,,,0,0.0,,,2043-10-21,,,40.1,9.63,48.02,1000.0,RUB,58,2025-04-14
RU000A0JUAP1,TQCB,ГазпромБ20,2025-04-14,,,,,,0,0.0,,,2043-10-21,,,40.1,9.63,48.02,1000.0,RUB,58,2025-04-14
RU000A0JUC92,TQCB,ФСК РС-30,2025-04-14,,,,,,0,0.0,,,2048-10-30,,2046-11-12,13.46,10.92,27.23,1000.0,RUB,58,2025-04-14
RU000A0JUCA9,TQCB,ФСК РС-34,2025-04-14,,,,,,0,0.0,,,2048-10-30,,2047-11-11,13.46,10.92,27.23,1000.0,RUB,58,2025-04-14
RU000A0JUG98,TQCB,МежИнБанк4,2025-04-14,91.01,,,,,0,0.0,,,2025-11-06,,,0.04,0.01,0.05,1000.0,RUB,58,2025-04-14
RU000A0JUKX4,TQCB,ДОМ.РФ30об,2025-04-14,94.22,94.18,94.05,99.95,95.17,67,63767.0,58.93,47.02,2033-03-01,1.57,2025-06-03,0.12,0.1,0.25,1000.0,RUB,58,2025-04-14
RU000A0JUT85,TQCB,ПЕРЕСВЕТБ2,2025-04-14,29.15,29.15,29.15,29.15,29.15,2,583.0,13.61,13.61,2034-08-04,113.27,,40.09,0.51,87.58,1000.0,RUB,58,2025-04-14
RU000A0JV0T3,TQCB,Ситимат02,2025-04-14,98.5,,,,,0,0.0,,,2036-12-20,,,19.26,22.0,31.24,142.0,RUB,58,2025-04-14
RU000A0JV0U1,TQCB,АльфаБО-15,2025-04-14,102.58,,,,,0,0.0,,,2029-11-13,,2025-05-22,63.8,15.95,79.53,1000.0,RUB,58,2025-04-14
RU000A0JV4R9,TQCB,ДОМ.РФ31об,2025-04-14,100.0,,,,,0,0.0,,,2034-02-01,,2025-08-05,43.2,21.9,108.6,1000.0,RUB,58,2025-04-14
RU000A0JV755,TQCB,АИЖК14-2А3,2025-04-14,125.23,,,,,0,0.0,,,2047-06-13,,,1.18,10.5,3.39,128.06,RUB,58,2025-04-14
RU000A0JVB19,TQCB,РЖД-33 обл,2025-04-14,,,,,,0,0.0,,,2040-02-28,,,7.78,10.52,52.46,1000.0,RUB,58,2025-04-14
RU000A0JVB27,TQCB,РЖД-34 обл,2025-04-14,,,,,,0,0.0,,,2040-02-28,,,7.78,10.52,52.46,1000.0,RUB,58,2025-04-14
RU000A0JVCB5,TQCB,ФСК РС-37,2025-04-14,,,,,,0,0.0,,,2050-03-23,,2045-04-05,22.2,9.88,24.63,1000.0,RUB,58,2025-04-14
RU000A0JVNL1,TQCB,ВЭБUSD1P-1,2025-04-14,99.85,,,,,0,0.0,,,2025-07-17,,,625.83,3.09,15.41,1000.0,USD,58,2025-04-14
RU000A0ZZAL5,TQOD,ГТЛК 1P-11,2025-04-14,98.3,,,,,0,0.0,,,2033-06-03,,,0.08,0.1,0.25,1000.0,USD,193,2025-04-14
RU000A1037P0,TQOD,Экспо02ВК,2025-04-14,100.0,,,,,0,0.0,,,,,,4068.49,7.5,5609.59,150000.0,USD,193,2025-04-14
KG000A3LSC78,TQCB,Кыргыз. 01,2025-04-15,99.4,99.4,92.2903,99.4,98.4996,369,34400.05,17.15,18.73,2025-12-25,8.1,,0.815,15.5,3.88,100.0,KGS,58,2025-04-15
KG000A3LSJ06,TQCB,Кыргыз. 02,2025-04-15,96.68,96.72,96.52,96.72,96.57,1496,144471.49,20.85,21.05,2025-12-26,8.13,,0.7653,14.5,3.63,100.0,RUB,58,2025-04-15
RU000A0JQAM6,TQCB,ДОМ.РФ15об,2025-04-15,100.49,,,,,0,0.0,,,2028-09-15,5.07,,16.99,20.0,100.82,1000.0,RUB,58,2025-04-15
RU000A0JR4U9,TQCB,ГлДорога 3,2025-04-15,80.01,,,,,0,0.0,,,2028-10-30,,,24.61,11.09,55.3,500.0,RUB,58,2025-04-15
RU000A0JRJB8,TQCB,ЗСД 01,2025-04-15,100.11,,,,,0,0.0,,,2031-05-13,,,42.05,10.44,52.06,1000.0,RUB,58,2025-04-15
RU000A0JRJL7,TQCB,ЗСД 02,2025-04-15,109.98,109.98,109.98,109.98,109.98,1,1099.8,8.49,8.49,2031-05-13,55.37,,42.05,10.44,52.06,1000.0,RUB,58,2025-04-15
RU000A0JRU20,TQCB,СЗКК 03,2025-04-15,85.88,,,,,0,0.0,,,2031-09-26,,,2.53,13.06,41.81,642.0,RUB,58,2025-04-15
RU000A0JRU46,TQCB,СЗКК 04,2025-04-15,80.05,,,,,0,0.0,,,2031-09-26,5.67,,2.53,13.06,41.81,642.0,RUB,58,2025-04-15
RU000A0JRZ74,TQCB,БМБанкБ03,2025-04-15,100.0,,,,,0,0.0,,,2025-07-16,,,0.02,0.01,0.05,1000.0,RUB,58,2025-04-15
RU000A0JS4J1,TQCB,ЗСД 03,2025-04-15,113.99,,,,,0,0.0,,,2032-02-06,,,16.18,9.84,49.07,1000.0,RUB,58,2025-04-15
RU000A0JS4K9,TQCB,ЗСД 04,2025-04-15,105.74,,,,,0,0.0,,,2032-02-06,,,16.18,9.84,49.07,1000.0,RUB,58,2025-04-15
RU000A0JS4L7,TQCB,ЗСД 05,2025-04-15,102.5,,,,,0,0.0,,,2032-02-06,,,16.18,9.84,49.07,1000.0,RUB,58,2025-04-15
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2025-04-15,102.46,102.47,102.46,102.47,102.47,67,68654.8,18.58,18.57,2032-02-17,23.9,,25.71,19.15,95.49,1000.0,RUB,58,2025-04-15
RU000A0JS9X1,TQCB,СитиматНН,2025-04-15,,,,,,0,0.0,,,2036-12-20,,,,0.0,127.7,1000.0,RUB,58,2025-04-15
RU000A0JSGV0,TQCB,РЖД-32 обл,2025-04-15,89.0,88.43,87.62,89.01,88.55,115,101837.3,21.48,22.0,2032-06-25,13.87,,27.39,9.8,48.87,1000.0,RUB,58,2025-04-15
RU000A0JSQ58,TQCB,ФСК РС-22,2025-04-15,100.0,98.32,98.31,100.0,99.16,6,5949.3,16.32,19.9,2027-07-21,3.27,2025-07-30,36.38,16.0,79.78,1000.0,RUB,58,2025-04-15
RU000A0JT403,TQCB,ВЭБ.РФ 18,2025-04-15,97.77,96.13,94.02,97.94,95.73,50,47862.9,19.08,20.29,2032-09-17,25.2,2027-09-28,8.43,17.09,85.22,1000.0,RUB,58,2025-04-15
