secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
RU000A0JSQ58,TQCB,ФСК РС-22,2024-06-07,99.9,99.9,99.9,99.9,99.9,3,2997.0,10.08,10.08,2027-07-21,1.47,2024-07-31,33.84,9.15,45.62,1000.0,RUB,58,2024-06-09
RU000A0JT403,TQCB,ВЭБ.РФ 18,2024-06-07,97.76,97.65,97.65,97.76,97.75,345,337254.0,16.11,16.15,2032-09-17,3.63,2024-10-01,14.71,7.67,38.24,1000.0,RUB,58,2024-06-09
RU000A0JTU85,TQCB,РЖД-28 обл,2024-06-07,98.71,100.3,98.69,100.3,98.73,6747,6661348.8,17.41,17.38,2028-03-21,9.17,,30.0,15.0,74.79,1000.0,RUB,58,2024-06-09
RU000A0JU0N7,TQCB,БМБанкБ02,2024-06-07,83.0,83.0,83.0,83.0,83.0,45,37350.0,15.55,15.55,2025-09-24,15.7,,0.02,0.01,0.05,1000.0,RUB,58,2024-06-09
RU000A0JUAH8,TQCB,РЖД-30 обл,2024-06-07,95.94,96.24,95.8,96.24,95.94,233,223536.7,17.74,17.74,2028-11-07,5.17,2024-11-15,4.44,6.75,33.66,1000.0,RUB,58,2024-06-09
RU000A0JUQ39,TQCB,ГПБ БО-09,2024-06-07,99.89,99.89,99.81,99.89,99.88,461,460440.1,8.11,8.34,2024-06-27,0.57,,25.23,5.65,28.33,1000.0,RUB,58,2024-06-09
RU000A0JUQC5,TQCB,АшинМЗ БО1,2024-06-07,99.81,99.96,99.6,99.96,99.72,50,49859.6,27.68,33.37,2024-06-17,0.23,,77.75,16.5,82.27,1000.0,RUB,58,2024-06-09
RU000A0JUV08,TQCB,ГПБ БО-10,2024-06-07,97.8,97.69,97.23,97.93,97.62,6868,6704863.1,16.54,17.26,2024-09-26,3.6,,16.3,8.15,41.08,1000.0,RUB,58,2024-06-09
RU000A0JV1X3,TQCB,РоснфтБО3,2024-06-07,97.78,97.75,97.03,97.92,97.72,130,127034.9,14.97,15.12,2024-11-28,5.7,,2.06,9.4,46.87,1000.0,RUB,58,2024-06-09
RU000A0JV219,TQCB,РоснфтБО9,2024-06-07,97.49,97.23,97.23,97.49,97.48,407,396761.9,15.7,15.73,2024-11-28,5.7,,2.06,9.4,46.87,1000.0,RUB,58,2024-06-09
