,AFLT_return,CBOM_return,PHOR_return,PLZL_return,RUAL_return,SBER_return,TATN_return,RISK_FREE_return,portfolio_return
2024-06-22,-6.565577614507045e-05,-0.0,0.0,-0.0,-3.407434392570609e-05,0.0,-0.00040946742539118745,8.61083810813401e-05,-0.0004230891643806239
2024-06-23,-0.0,-0.0,-7.700992307886201e-05,0.0,0.0,0.0,0.0,8.61083810813401e-05,9.098458002478093e-06
2024-06-24,-0.0,0.0,-0.0010313692647635946,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,-0.0009452608836822545
2024-06-25,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-06-26,0.0,-0.00024852171283632976,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,-0.00016241333175498967
2024-06-27,-0.0,0.0009424240913252723,-0.0,0.0,-0.0,0.0,0.0,8.61083810813401e-05,0.0010285324724066125
2024-06-28,-0.0007769145394006748,-0.0,0.0,-0.00013872832369941966,0.0,0.0,-0.0,8.61083810813401e-05,-0.0008295344820187544
2024-06-29,-0.0,-0.0,0.0,0.0006480409985121671,0.0,0.0,0.0,8.61083810813401e-05,0.0007341493795935071
2024-06-30,0.0,-0.00022098272257443097,0.0,-0.0,-0.0,0.0,0.00016732903552931926,8.61083810813401e-05,3.2454694036228375e-05
2024-07-01,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-07-02,0.0,0.0,0.0014245060438370506,0.0032627605448875795,-0.0,0.0,-0.0,8.61083810813401e-05,0.00477337496980597
2024-07-03,-0.0,0.0,0.0,-0.0013472333600641616,-0.0,0.0,-0.001041262866912692,8.61083810813401e-05,-0.0023023878458955137
2024-07-04,-0.0,-0.0001476027436573033,-0.0,-0.002380566801619437,-0.0,0.0,-0.000833793383261734,8.61083810813401e-05,-0.0032758545474571342
2024-07-05,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.001175659404400541,8.61083810813401e-05,-0.0010895510233192008
2024-07-06,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-07-07,-0.0,-0.0,0.0,0.0003156199677938698,-0.0,0.0,0.0,8.61083810813401e-05,0.0004017283488752099
2024-07-08,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-07-09,-0.0,-0.0,-0.0010990091515076163,-0.0036467889908256843,-0.0,0.0,-0.0,8.61083810813401e-05,-0.004659689761251961
2024-07-10,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-07-11,0.0,0.0,0.0,0.0,-0.0025919217612813926,0.0,-0.0028286036824642312,8.61083810813401e-05,-0.005334417062664284
2024-07-12,-0.0,-0.0,0.0011446326422623705,0.0010550458715596366,-0.0,0.0,0.0,8.61083810813401e-05,0.0022857868949033473
2024-07-13,0.0,-0.0,-0.0001788127090602311,-0.0,0.0,0.0,0.0,8.61083810813401e-05,-9.2704327978891e-05
2024-07-14,0.0,-0.0,-5.243125717440526e-05,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,3.3677123906934846e-05
2024-07-15,-0.0,-0.0,0.0016448630795547954,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,0.0017309714606361356
2024-07-16,0.0,-0.0,-0.0018219585710123644,0.0,-0.0016587428852559382,0.0,0.0,8.61083810813401e-05,-0.003394593075186962
2024-07-17,-0.0,-0.0,0.001369513833677951,0.002925039872408308,-0.0,0.0,0.0,8.61083810813401e-05,0.004380662087167598
2024-07-18,0.0,0.0,-0.0005031649452037277,-0.0,0.0,0.0,0.0,8.61083810813401e-05,-0.00041705656412238765
2024-07-19,0.0,0.0,-0.0005307043006935666,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,-0.00044459591961222653
2024-07-20,0.0,0.0,0.0,0.0,-0.0,0.0,0.0001063058254693453,8.61083810813401e-05,0.0001924142065506854
2024-07-21,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8.61083810813401e-05,8.61083810813401e-05
2024-07-22,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-07-23,-0.0,0.0,0.0,0.001301518438177873,-0.0,0.0,0.0,8.61083810813401e-05,0.0013876268192592133
2024-07-24,0.0,0.0,-0.0005121511195290168,-0.0,-0.0,0.0,0.0,8.61083810813401e-05,-0.00042604273844767666
2024-07-25,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,8.61083810813401e-05,8.61083810813401e-05
2024-07-26,-0.0,-0.0,-0.0005876052397481272,-0.0016245883644347024,-0.0,0.0,-0.0013034183772592778,8.61083810813401e-05,-0.003429503600360767
2024-07-27,-0.0,-0.00010960197441611074,0.0,0.0,-0.0,0.0,-0.0,8.61083810813401e-05,-2.349359333477064e-05
