secid,boardid,name,tradedate,price,price_open,price_low,price_high,price_waprice,volume,value,yield,yield_atwap,maturity_date,duration,offer_date,accint,coupon_percent,coupon_value,face_value,face_unit,board_group,date
RU000A1057D4,TQOY,МЕТАЛИН1P2,2025-03-25,91.9999,91.4545,91.4545,91.9999,91.8442,402,369132.85,7.48,7.56,2027-09-10,28.63,,1.12,3.7,9.22,1000.0,CNY,245,2025-03-25
RU000A1057S2,TQOY,Роснфт2P12,2025-03-25,102.0,101.7999,101.5005,102.154,101.9309,130,132482.23,4.76,4.91,2032-09-07,5.8,,1.73,9.0,44.88,1000.0,CNY,245,2025-03-25
RU000A105C44,TQOY,РУСАЛ 1Р1,2025-03-25,99.8899,99.6321,99.3211,99.9577,99.9315,749,746645.29,5.18,4.64,2025-04-24,0.97,,15.62,3.75,18.7,1000.0,CNY,245,2025-03-25
RU000A105EW9,TQOY,Сегежа3P1R,2025-03-25,92.9261,92.6002,92.4109,93.6948,92.835,535,495695.67,17.49,17.67,2037-10-22,7.4,2025-11-06,5.34,4.15,10.35,1000.0,CNY,245,2025-03-25
RU000A105M75,TQOY,МЕТАЛИН1P3,2025-03-25,97.7,97.9709,97.0212,97.9709,97.9083,35,34216.2,6.71,6.39,2025-12-11,8.57,,9.17,3.25,16.21,1000.0,CNY,245,2025-03-25
RU000A105N25,TQOY,БДеньг-Ю01,2025-03-25,98.9289,99.4822,97.3841,99.4822,98.4633,1281,126131.48,9.36,9.82,2026-06-03,13.8,,0.33,8.0,0.66,100.0,CNY,245,2025-03-25
RU000A1060Q0,TQOY,СКФ 1Р1CNY,2025-03-25,98.4497,97.6569,97.6569,98.4497,98.1562,264,258997.43,6.69,7.02,2026-03-24,11.97,,0.0,4.95,24.68,1000.0,CNY,245,2025-03-25
RU000A1061L9,TQOY,ЮГК 1P2,2025-03-25,99.999,100.0396,99.8532,100.0396,100.5088,25,24989.0,5.54,-21.92,2025-04-01,0.2,,26.37,5.5,27.42,1000.0,CNY,245,2025-03-25
RU000A1071S3,TQOY,МЕТАЛИН1P5,2025-03-25,98.4499,98.0081,97.6602,98.4499,98.3749,2209,2172935.29,7.44,7.51,2026-04-14,12.3,,25.36,5.75,28.67,1000.0,CNY,245,2025-03-25
RU000A1076U8,TQOY,РУСАЛ 1Р5,2025-03-25,97.6,97.3829,97.37,97.9886,97.6128,149,145443.17,9.19,9.18,2026-05-08,13.0,,25.15,6.7,33.41,1000.0,CNY,245,2025-03-25
RU000A107RH8,TQOY,РУСАЛ 1Р6,2025-03-25,97.28,97.8491,97.25,97.8492,97.3081,2063,2008791.23,9.68,9.65,2026-08-05,15.77,,9.47,7.2,17.95,1000.0,CNY,245,2025-03-25
KG000A3LSJ06,TQCB,Кыргыз. 02,2025-03-26,96.2,95.97,95.7,96.2,96.11,4836,464789.73,21.23,21.39,2025-12-26,8.8,,0.0,14.5,3.63,100.0,RUB,58,2025-03-26
RU000A0JS4Z7,TQCB,ВЭБ.РФ 21,2025-03-26,105.44,103.73,103.73,105.49,104.6,72,75315.0,16.97,17.43,2032-02-17,24.6,,15.22,19.15,95.49,1000.0,RUB,58,2025-03-26
RU000A0JSGV0,TQCB,РЖД-32 обл,2025-03-26,91.2,91.39,90.83,91.39,91.11,54,49199.5,18.6,18.7,2032-06-25,14.53,,22.02,9.8,48.87,1000.0,RUB,58,2025-03-26
RU000A0JTU85,TQCB,РЖД-28 обл,2025-03-26,101.89,101.9,101.01,101.95,101.76,2590,2635619.4,18.01,18.07,2028-03-21,29.63,2025-03-28,0.5,18.1,90.25,1000.0,RUB,58,2025-03-26
RU000A0JUAH8,TQCB,РЖД-30 обл,2025-03-26,101.4,101.47,101.36,101.7,101.61,2158,2192816.1,20.82,20.42,2028-11-07,7.03,,82.6,22.5,112.19,1000.0,RUB,58,2025-03-26
RU000A105104,TQOY,РУСАЛ БО05,2025-03-26,100.079,100.0799,99.84,100.0799,99.8375,30,30003.84,8.38,9.13,2027-07-28,4.17,2025-08-04,13.04,8.5,42.38,1000.0,CNY,245,2025-03-26
