date,KG000A3LSJ06,RU000A0JS4Z7,RU000A0JSGV0,RU000A0JTU85,RU000A0JUAH8,RU000A0JVA10,RU000A105104,RU000A105112,RU000A1054W1,RU000A1057D4,RU000A1057S2,RU000A105C44,RU000A105EW9,RU000A105M75,RU000A105N25,RU000A1060Q0,RU000A1061L9,RU000A1071S3,RU000A1076U8,RU000A107RH8
2024-04-11,15.88,15.09,15.02,14.82,16.29,15.28,8.43,8.43,5.73,5.76,5.61,7.57,16.02,5.22,8.58,5.88,6.01,5.89,7.03,7.4
2024-04-12,15.57,15.12,14.73,15.11,15.72,15.24,8.56,8.44,5.78,5.75,5.43,7.44,16.22,4.93,8.37,5.87,5.69,5.84,7.03,7.46
2024-04-13,15.57,15.12,14.73,15.11,15.72,15.24,8.56,8.44,5.78,5.75,5.43,7.44,16.22,4.93,8.37,5.87,5.69,5.84,7.03,7.46
2024-04-14,15.57,15.12,14.73,15.11,15.72,15.24,8.56,8.44,5.78,5.75,5.43,7.44,16.22,4.93,8.37,5.87,5.69,5.84,7.03,7.46
2024-04-15,15.69,,15.15,14.66,15.7,15.27,8.82,8.49,5.86,5.89,5.23,7.01,16.69,5.08,8.42,6.03,5.79,5.84,7.08,7.44
2024-04-16,15.78,,14.9,14.96,16.85,15.32,8.72,9.02,5.79,5.81,5.31,6.74,16.93,5.89,8.58,5.93,5.85,5.84,6.94,7.51
2024-04-17,15.85,16.31,14.48,14.91,15.89,15.02,8.9,8.58,5.9,5.97,5.81,6.84,16.74,6.22,8.42,5.96,6.58,5.84,7.03,7.7
2024-04-18,16.0,16.65,14.83,14.7,16.13,15.47,8.06,8.15,5.91,6.06,5.86,7.26,16.53,6.24,8.41,6.04,6.71,5.85,7.01,7.65
2024-04-19,15.89,,14.6,14.94,16.27,15.48,7.92,7.97,6.04,5.98,6.17,7.01,16.8,5.93,8.44,5.95,6.6,5.84,7.14,7.61
2024-04-20,15.89,,14.6,14.94,16.27,15.48,7.92,7.97,6.04,5.98,6.17,7.01,16.8,5.93,8.44,5.95,6.6,5.84,7.14,7.61
2024-04-21,15.89,,14.6,14.94,16.27,15.48,7.92,7.97,6.04,5.98,6.17,7.01,16.8,5.93,8.44,5.95,6.6,5.84,7.14,7.61
2024-04-22,16.03,15.22,14.8,15.2,16.36,14.78,8.61,8.81,6.17,6.06,5.93,7.22,16.81,6.27,8.39,6.13,6.84,5.84,7.05,7.6
2024-04-23,15.9,17.18,15.14,14.94,16.37,15.12,9.14,8.86,6.23,6.07,5.95,7.19,17.01,6.15,8.4,6.13,6.85,5.84,7.14,7.55
2024-04-24,15.96,16.21,15.16,15.42,15.45,15.0,9.16,9.12,6.3,6.07,6.46,6.58,16.79,6.57,8.39,6.09,7.67,6.13,7.03,7.55
2024-04-25,15.9,16.04,14.39,15.5,15.91,15.72,9.3,9.17,6.26,5.86,6.44,6.84,16.69,5.88,8.36,5.99,7.32,5.84,7.08,7.55
2024-04-26,15.83,15.76,14.37,15.15,16.34,15.55,8.89,9.79,6.15,5.87,6.0,6.22,16.41,5.93,8.34,6.0,6.46,5.85,6.83,7.55
2024-04-27,15.83,15.76,14.37,15.15,16.34,15.55,8.89,9.79,6.15,5.87,6.0,6.22,16.41,5.93,8.34,6.0,6.46,5.85,6.83,7.55
2024-04-28,15.83,15.76,14.37,15.15,16.34,15.55,8.89,9.79,6.15,5.87,6.0,6.22,16.41,5.93,8.34,6.0,6.46,5.85,6.83,7.55
2024-04-29,15.87,15.73,14.59,15.48,15.45,15.79,8.98,9.32,6.06,6.01,6.82,6.53,15.99,6.31,8.34,6.0,6.64,6.05,7.04,7.45
2024-04-30,15.84,15.89,14.44,15.1,16.18,15.37,10.65,9.32,6.18,5.98,5.94,6.36,16.55,,8.44,6.01,6.18,5.84,6.98,7.6
2024-05-01,15.84,15.89,14.44,15.1,16.18,15.37,10.65,9.32,6.18,5.98,5.94,6.36,16.55,,8.44,6.01,6.18,5.84,6.98,7.6
2024-05-02,15.61,15.99,14.65,15.45,16.26,16.03,9.18,9.23,6.05,5.93,5.92,6.26,16.31,6.42,8.36,6.21,6.24,5.94,6.92,7.55
2024-05-03,15.53,15.72,14.56,15.37,15.19,16.08,10.25,9.79,5.98,5.87,6.09,6.45,16.31,5.92,8.34,6.18,6.1,6.13,6.87,7.57
2024-05-04,15.53,15.72,14.56,15.37,15.19,16.08,10.25,9.79,5.98,5.87,6.09,6.45,16.31,5.92,8.34,6.18,6.1,6.13,6.87,7.57
2024-05-05,15.53,15.72,14.56,15.37,15.19,16.08,10.25,9.79,5.98,5.87,6.09,6.45,16.31,5.92,8.34,6.18,6.1,6.13,6.87,7.57
2024-05-06,15.58,15.97,14.49,15.33,15.51,15.54,9.68,9.91,6.05,6.09,6.49,6.71,16.48,6.41,8.4,6.07,6.21,5.97,7.09,7.6
2024-05-07,15.93,16.2,14.33,15.38,14.54,15.91,9.79,9.93,6.0,5.91,6.39,6.87,16.53,6.01,8.4,6.07,6.08,6.09,7.07,7.65
2024-05-08,15.59,16.48,14.39,15.19,17.43,15.73,10.27,9.56,6.02,5.88,6.16,6.36,16.61,6.17,8.34,6.02,5.99,5.85,6.87,7.55
2024-05-09,15.59,16.48,14.39,15.19,17.43,15.73,10.27,9.56,6.02,5.88,6.16,6.36,16.61,6.17,8.34,6.02,5.99,5.85,6.87,7.55
2024-05-10,15.78,,14.26,15.18,14.81,15.76,9.81,9.48,6.01,5.89,6.32,7.08,16.52,5.95,8.34,6.02,5.93,5.87,6.81,7.46
2024-05-11,15.78,,14.26,15.18,14.81,15.76,9.81,9.48,6.01,5.89,6.32,7.08,16.52,5.95,8.34,6.02,5.93,5.87,6.81,7.46
