date,open,high,low,close,volume,SMA,EMA,RSI,MACD,MACD_signal,MACD_diff,BB_upper,BB_lower,BB_middle
2024-10-14,85.79,86.91,84.74,86.7,32208801,87.7945,87.40354708710093,46.00273257063574,-0.9626356975943366,-0.8749019677231027,-0.08773372987123396,91.83022781540147,83.75877218459853,87.7945
2024-10-15,86.99,87.12,86.29,86.67,17871076,87.5865,87.33368545975799,45.903410229437874,-0.9016618567511898,-0.8802539455287202,-0.021407911222469655,91.39754854338084,83.77545145661917,87.5865
2024-10-16,86.5,87.52,85.7,85.82,23631192,87.3395,87.18952493978104,43.06625694678135,-0.9114212480364614,-0.8864874060302684,-0.024933842006192974,90.92975611899837,83.74924388100163,87.3395
2024-10-17,86.18,86.18,84.86,85.09,15075026,87.06550000000001,86.98957018361142,40.737516856107376,-0.9669145460743636,-0.9025728340390875,-0.06434171203527606,90.45879618512816,83.67220381487186,87.06550000000001
2024-10-18,85.1,85.2,84.08,84.84,27524092,86.7635,86.78484921374367,39.94098257936749,-1.0193162519892525,-0.9259215176291206,-0.0933947343601319,89.80161306570466,83.72538693429533,86.7635
2024-10-19,85.2,84.97,84.67,84.67,169412,86.447,86.58343500291093,39.377153039217276,-1.0623168335238233,-0.9532005808080611,-0.1091162527157622,88.92013647015392,83.97386352984608,86.447
2024-10-20,84.89,84.85,84.61,84.8,115362,86.2355,86.41358405025275,40.07381932612366,-1.0735302027201499,-0.977266505190479,-0.0962636975296709,88.50389568858817,83.96710431141183,86.2355
2024-10-21,84.8,85.17,84.49,84.71,12348635,86.095,86.25133795022867,39.73338925207405,-1.07726113069198,-0.9972654302907792,-0.07999570040120074,88.3758112591807,83.8141887408193,86.095
2024-10-22,85.2,85.2,83.55,83.58,16854309,85.966,85.99692481211166,35.639641087359465,-1.1580501924283908,-1.0294223827183016,-0.12862780971008925,88.4957699500163,83.43623004998369,85.966
2024-10-23,83.74,84.59,81.97,82.22,39487767,85.71549999999999,85.63721768714865,31.441014855578572,-1.3166393411685675,-1.0868657744083547,-0.22977356676021277,88.65415598531122,82.77684401468876,85.71549999999999
2024-10-24,83.7,82.76,81.32,82.64,21130318,85.51599999999999,85.35176838361068,34.0259067710674,-1.3923813882878733,-1.1479688971842585,-0.24441249110361474,88.70989667960714,82.32210332039284,85.51599999999999
2024-10-25,81.51,83.14,79.8,79.89,45356881,85.182,84.83159996612395,26.879765851706793,-1.6552290732014256,-1.2494209323876921,-0.4058081408137335,89.1648311538409,81.19916884615911,85.182
